"CN1" "CN2" "CN3+"
4 132 4
3 174 14
11 313 51
3 154 18
13 593 15
3 133 11
16 438 45
12 415 31
9 537 23
7 254 65
6 276 20
41 1535 136
4 139 20
2262 97128 8217
2 222 24
5 136 135
6 440 422
58 3597 285
10 745 25
2 189 13
3 231 12
3 144 8
9 652 27
33 1580 83
26 1014 285
1 219 42
4 95 1
28 935 65
5 178 8
17 555 28
6 308 18
9 479 14
494 22252 1725
13 409 28
18 897 112
0 9 1
2 96 1
73 4148 426
15 409 29
11 529 475
0 8 1
48 2536 2299
22 827 153
0 31 5
159 5544 690
78 4913 815
15 578 99
8 870 152
0 21 0
101 6406 1148
17 808 151
